ID;EyeColor;Age;Sex;Handedness;Cubicle
1;Bruin;23;M;R;2
2;Bruin;22;M;R;2
3;Groen;21;F;R;2
4;Blauw;20;M;R;1
5;Blauw;22;M;R;2
6;Bruin;24;M;R;2
7;Blauw;25;F;R;1
8;Blauw;23;M;R;2
9;Bruin;23;M;R;2
10;Blauw;27;M;R;1
11;Bruin;21;F;R;2
12;Groen;20;F;R;1
13;Groen;21;F;R;1
14;Bruin;21;M;R;1
15;Blauw;21;M;R;1
16;Bruin;23;F;L;2
17;Bruin;26;M;R;2
18;Bruin;24;M;R;NA
19;Bruin;19;M;L;1
20;Groen;19;F;R;2
21;Blauw;23;M;R;2
22;Grijs;24;M;L;2
23;Bruin;23;M;R;1
24;Grijs;25;M;R;2
25;Groen;19;F;R;1
26;Bruin;22;F;L;1
27;Bruin;24;F;L;1
28;Blauw;20;M;R;1
29;Bruin;23;F;R;1
30;Blauw;25;F;R;2
231;Blauw;22;M;R;1
31;Groen;24;F;R;1
232;Bruin;23;M;R;2
32;Blauw;20;F;R;1
33;Bruin;23;M;R;1
34;Groen;20;M;L;2
35;Blauw;19;F;R;1
36;Blauw;22;M;R;2
37;Bruin;19;F;R;1
38;Blauw;19;F;L;2
39;Blauw;22;M;R;2
40;Blauw;25;M;R;1
41;Bruin;26;M;R;2
42;Groen;18;F;R;1
43;Blauw;21;F;R;2
44;Bruin;23;F;R;2
45;Bruin;18;F;R;1
46;Blauw;22;M;R;2
47;Blauw;23;M;R;1
48;Bruin;22;F;R;2
49;Blauw;23;F;R;2
50;Groen;24;M;L;1
51;Bruin;23;F;R;2
52;Blauw;24;M;R;1
53;Blauw;18;M;R;1
54;Blauw;23;M;R;2
55;Groen;24;F;R;1
56;Groen;24;M;R;1
57;Bruin;23;M;R;2
58;Bruin;21;M;R;2
59;Blauw;22;F;R;1
60;Blauw;24;F;L;2
61;Groen;20;F;L;NA
62;Groen;20;F;L;1
63;Blauw;20;F;L;1
64;Bruin;21;F;R;2
65;Blauw;21;F;R;1
66;Groenblauw;19;F;R;1
67;Bruin;24;M;L;2
68;Bruin;22;F;R;2
69;Blauw;22;F;L;1
70;Blauw;20;F;R;1
71;Blauw;19;F;R;2
72;Blauw;20;M;R;1
73;Bruin;20;M;R;2
74;Blauw;20;F;R;1
75;Blauw;24;F;R;1
76;Groen;23;F;R;1
77;Blauw;21;F;R;1
78;Bruin;20;F;R;2
79;Groenbruin;21;F;L;2
80;Blauw;20;F;R;1
81;Blauwgroenbruin;20;F;L;1
82;Bruin;24;F;R;2
83;Bruin;23;F;R;2
84;Bruin;23;F;R;2
85;Bruin;21;M;R;1
86;Groenblauw;23;M;R;1
87;Bruin;20;F;R;1
88;Bruin;25;F;R;2
89;Groen;21;F;R;1
90;Blauw;22;F;L;2
91;Groen;21;F;R;1
92;Blauw;20;F;R;2
93;Bruin;21;F;R;1
94;Blauw;24;F;R;2
95;Blauw;21;F;R;1
96;Bruin;20;F;R;1
97;Blauw;23;F;R;1
98;Bruin;21;M;R;1
99;Bruin;20;F;L;1
100;Bruin;20;F;R;2
101;Bruin;24;F;R;2
102;Groen;22;F;R;1
103;Blauw;21;F;R;1
104;Bruin;18;F;R;1
105;Bruin;21;M;R;1
106;Blauw;21;F;L;1
107;Blauw;22;F;R;1
108;Bruin;19;F;R;1
109;Bruin;20;F;R;2
110;Bruin;21;F;R;2
111;Bruin;24;F;R;2
112;Bruin;22;F;R;1
121;Bruin;19;F;R;1
122;Bruin;24;F;L;1
123;Bruin;22;F;R;2
124;Bruin;24;F;R;2
125;Bruin;25;F;R;2
131;Bruin;23;F;L;2
132;Bruin;23;F;R;2
