"subjectID";"expStartTime";"block";"total_visited";"unique_patches"
1;20190305120100;"baseline";9;6
1;20190305120100;"main";6;6
2;20190305130517;"baseline";5;5
2;20190305130517;"main";6;6
3;20190307131255;"baseline";3;2
3;20190307131255;"main";3;3
4;20190307140827;"baseline";7;6
4;20190307140827;"main";7;7
5;20190307150331;"baseline";10;6
5;20190307150331;"main";4;4
6;20190307162250;"baseline";8;6
6;20190307162250;"main";7;7
7;20190307162831;"baseline";6;4
7;20190307162831;"main";4;4
8;20190308100723;"baseline";10;5
8;20190308100723;"main";6;6
9;20190308105914;"baseline";8;6
10;20190308130944;"baseline";7;7
10;20190308130944;"main";7;7
11;20190311130834;"baseline";8;6
11;20190311130834;"main";5;5
12;20190311131502;"baseline";6;4
12;20190311131502;"main";6;6
13;20190314120341;"baseline";7;7
13;20190314120341;"main";7;7
14;20190314130014;"baseline";9;9
14;20190314130014;"main";9;8
15;20190314135727;"baseline";12;5
15;20190314135727;"main";5;5
16;20190314141803;"baseline";17;1
16;20190314141803;"main";8;6
17;20190314155740;"baseline";8;8
17;20190314155740;"main";8;8
18;20190315110553;"baseline";13;9
18;20190315110553;"main";10;8
19;20190315132114;"baseline";6;5
19;20190315132114;"main";6;6
20;20190319131435;"baseline";7;6
20;20190319131435;"main";6;6
21;20190319140759;"baseline";10;9
21;20190319140759;"main";9;9
22;20190319162354;"baseline";4;4
22;20190319162354;"main";6;5
23;20190321130324;"baseline";16;4
23;20190321130324;"main";5;5
24;20190321141908;"baseline";8;4
24;20190321141908;"main";5;5
25;20190321160412;"baseline";4;4
25;20190321160412;"main";4;4
26;20190321170756;"baseline";13;5
26;20190321170756;"main";6;5
27;20190322100817;"baseline";10;4
27;20190322100817;"main";6;6
28;20190322120902;"baseline";9;4
28;20190322120902;"main";4;4
29;20190326140454;"baseline";9;9
29;20190326140454;"main";5;5
30;20190326145938;"baseline";7;4
30;20190326145938;"main";7;6
31;20190305131226;"baseline";7;6
31;20190305131226;"main";5;5
31;20190326161208;"baseline";9;7
31;20190326161208;"main";6;6
32;20190305140259;"baseline";7;5
32;20190305140259;"main";5;5
32;20190326160652;"baseline";8;8
32;20190326160652;"main";8;8
33;20190305145601;"baseline";18;8
33;20190305145601;"main";9;8
34;20190305153457;"baseline";11;6
34;20190305153457;"main";7;6
35;20190305161213;"baseline";10;5
35;20190305161213;"main";8;5
36;2019030791022;"baseline";11;9
36;2019030791022;"main";8;8
37;20190307110426;"baseline";5;2
37;20190307110426;"main";4;4
38;20190308130648;"baseline";14;6
38;20190308130648;"main";8;8
39;20190308140525;"baseline";16;6
39;20190308140525;"main";7;6
40;20190308150423;"baseline";6;6
40;20190308150423;"main";9;8
40;20190308161404;"baseline";9;7
