ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	CBGroupList	ExampleSit	ExpList	ExpList.Cycle	ExpList.Sample	GroupDescription	GroupNR	InstrMIP3.ACC	InstrMIP3.CRESP	InstrMIP3.DurationError	InstrMIP3.OnsetDelay	InstrMIP3.OnsetTime	InstrMIP3.OnsetToOnsetTime	InstrMIP3.RESP	InstrMIP3.RT	InstrMIP3.RTTime	IntExpList	IntExpList.Cycle	IntExpList.Sample	MoodDes	MoodDes2	MoodDes3	MoodDesLW	Procedure[Block]	resp	Running[Block]	Task	Trial	AffectGrid	AffectGrid.Cycle	AffectGrid.Sample	Arousal	MoodQuestions	MoodQuestions.Cycle	MoodQuestions.Sample	Pleasure	Procedure[Trial]	Question	QuestSlide.RESP	QuestSlide.RT	Running[Trial]
Mood	1	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-05T11:10:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312705</Frequency><Timestamp dt:dt="r8">37292426121</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-05T11:10:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-1-1	60.005	1.0.0.399	1	-1361634527	Professional	2.0.10.356	2.0.10.356	03-05-2019	5-3-2019 11:10:41	12:10:41	2.0.10.252	1	1	It’s your birthday and your friends throw you an amazing surprise party! All of your favorite people are there, and they are having a great time together with you, doing the best imaginable birthday activities. 				E	1										1	1	1	excited			an excited	InitializeProc		IntExpList															
Mood	1	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-05T11:10:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312705</Frequency><Timestamp dt:dt="r8">37292426121</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-05T11:10:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-1-1	60.005	1.0.0.399	1	-1361634527	Professional	2.0.10.356	2.0.10.356	03-05-2019	5-3-2019 11:10:41	12:10:41	2.0.10.252	2																	2	1	2					Mood		IntExpList		1	1	1	1	7				7	AffectGridProc				AffectGrid
Mood	1	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-05T11:10:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312705</Frequency><Timestamp dt:dt="r8">37292426121</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-05T11:10:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-1-1	60.005	1.0.0.399	1	-1361634527	Professional	2.0.10.356	2.0.10.356	03-05-2019	5-3-2019 11:10:41	12:10:41	2.0.10.252	3	1	It’s your birthday and your friends throw you an amazing surprise party! All of your favorite people are there, and they are having a great time together with you, doing the best imaginable birthday activities. 	1	1	1	E	1	1		0	-1	113441	600037		0	0				excited			an excited	MoodProc	?	ExpList	Music														
Mood	1	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-05T11:10:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312705</Frequency><Timestamp dt:dt="r8">37292426121</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-05T11:10:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-1-1	60.005	1.0.0.399	1	-1361634527	Professional	2.0.10.356	2.0.10.356	03-05-2019	5-3-2019 11:10:41	12:10:41	2.0.10.252	4			2	1	2																			Mood	a	ExpList	Mood2	1	1	2	2	6				9	AffectGridProc				AffectGrid
Mood	1	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-05T11:10:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312705</Frequency><Timestamp dt:dt="r8">37292426121</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-05T11:10:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-1-1	60.005	1.0.0.399	1	-1361634527	Professional	2.0.10.356	2.0.10.356	03-05-2019	5-3-2019 11:10:41	12:10:41	2.0.10.252	5			3	1	3																			MoodQuest	?	ExpList	Quest	1					1	1	1		MoodQuestProc	How difficult did you find it to get into the mood, on a scale of 1 (not at all) to 8 (very much)?	3	10259	MoodQuestions
Mood	1	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-05T11:10:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312705</Frequency><Timestamp dt:dt="r8">37292426121</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-05T11:10:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-1-1	60.005	1.0.0.399	1	-1361634527	Professional	2.0.10.356	2.0.10.356	03-05-2019	5-3-2019 11:10:41	12:10:41	2.0.10.252	5			3	1	3																			MoodQuest	?	ExpList	Quest	2					2	1	2		MoodQuestProc	How much did the example story help to get into the mood, on a scale of 1 (not at all) to 8 (very much)?	5	5581	MoodQuestions
Mood	1	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-05T11:10:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312705</Frequency><Timestamp dt:dt="r8">37292426121</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-05T11:10:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-1-1	60.005	1.0.0.399	1	-1361634527	Professional	2.0.10.356	2.0.10.356	03-05-2019	5-3-2019 11:10:41	12:10:41	2.0.10.252	5			3	1	3																			MoodQuest	?	ExpList	Quest	3					3	1	3		MoodQuestProc	How much did the music help to get into the mood, on a scale of 1 (not at all) to 8 (very much)?	6	3889	MoodQuestions
Mood	1	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-05T11:10:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312705</Frequency><Timestamp dt:dt="r8">37292426121</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-05T11:10:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-1-1	60.005	1.0.0.399	1	-1361634527	Professional	2.0.10.356	2.0.10.356	03-05-2019	5-3-2019 11:10:41	12:10:41	2.0.10.252	5			3	1	3																			MoodQuest	?	ExpList	Quest	4					4	1	4		MoodQuestProc	How much did your own memory help to get into the mood, on a scale of 1 (not at all) to 8 (very much)?	6	4057	MoodQuestions
Mood	1	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-05T11:10:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312705</Frequency><Timestamp dt:dt="r8">37292426121</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-05T11:10:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-1-1	60.005	1.0.0.399	1	-1361634527	Professional	2.0.10.356	2.0.10.356	03-05-2019	5-3-2019 11:10:41	12:10:41	2.0.10.252	6			4	1	4																			Mood	a	ExpList	Mood3	1	1	3	3	7				9	AffectGridProc				AffectGrid
Mood	10	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-08T12:20:32Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312675</Frequency><Timestamp dt:dt="r8">45711090583</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-08T12:20:32Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-10-1	60.004	1.0.0.399	1	-1532875084	Professional	2.0.10.356	2.0.10.356	03-08-2019	8-3-2019 12:20:32	13:20:32	2.0.10.252	1	2	A relative of yours, with whom you’ve shared a close relationship, has been diagnosed with early-onset Alzheimers. Whereas (s)he used to be full of life and wisdom, you can see the passion fade away as (s)he forgets more and more, until eventually (s)he doesn’t even remember you and the great times you’ve had anymore. 				S	2										1	1	1	sad	Before we continue to the task, I, the experimenter, would like to assure you that at the end of the task, I will make sure you get back to a normal mood.	Are you still a bit down? The experiment leader has a nice little surprise for you. Hopefully it will make you feel a little better.  	a sad	InitializeProc		IntExpList															
