subjectID,condition,pleasurerating_baseline_post_foraging,pleasurerating_main_pre_foraging,arousalrating_baseline_post_foraging,arousalrating_main_pre_foraging
1,excited,3,4,3,2
3,excited,3,3,1,2
5,excited,0,3,0,-1
7,excited,3,2,1,3
11,excited,3,3,1,2
13,excited,2,3,1,1
15,excited,2,2,0,1
17,excited,3,2,1,3
19,excited,1,1,1,3
21,excited,2,3,3,3
23,excited,2,2,1,2
25,excited,3,4,2,2
27,excited,3,2,2,2
31,excited,1,3,3,2
33,excited,-1,2,3,2
35,excited,1,3,2,3
37,excited,2,2,1,2
39,excited,2,3,2,-1
43,excited,1,3,-1,-1
45,excited,3,4,3,2
47,excited,2,2,3,1
49,excited,3,3,2,3
51,excited,1,2,0,2
53,excited,2,3,2,2
55,excited,3,3,0,3
57,excited,2,2,0,2
59,excited,-1,1,2,2
61,excited,2,2,3,4
63,excited,2,3,2,3
65,excited,1,3,-2,-2
67,excited,2,4,3,3
69,excited,2,3,-1,2
71,excited,-1,2,2,-1
73,excited,2,3,1,1
75,excited,2,2,3,2
77,excited,2,2,2,2
79,excited,1,3,0,-1
81,excited,4,3,3,3
83,excited,2,2,2,2
85,excited,-1,0,1,0
87,excited,1,3,1,2
89,excited,2,3,3,2
93,excited,4,4,-1,2
95,excited,2,2,3,3
97,excited,3,3,1,2
99,excited,2,3,1,1
101,excited,2,2,2,2
103,excited,2,2,1,1
105,excited,0,2,4,4
107,excited,3,3,0,1
109,excited,2,4,2,2
111,excited,1,1,0,1
121,excited,2,3,2,2
123,excited,2,3,4,3
125,excited,3,2,3,2
131,excited,2,3,1,1
231,excited,2,1,-1,1
2,sad,4,2,4,1
4,sad,0,-1,4,1
6,sad,-1,0,0,-1
8,sad,2,-2,-1,-2
10,sad,3,-2,3,-1
12,sad,3,3,1,1
14,sad,1,2,-1,0
16,sad,-1,1,0,1
18,sad,2,-1,0,-1
20,sad,1,-1,0,1
22,sad,2,1,1,2
24,sad,2,3,2,1
26,sad,2,-2,0,0
28,sad,2,-2,1,0
30,sad,3,1,3,-1
32,sad,2,1,1,-1
34,sad,2,1,1,0
36,sad,3,1,0,0
38,sad,2,-2,1,0
40,sad,3,3,-1,1
42,sad,3,0,2,0
44,sad,3,1,1,1
46,sad,2,2,2,-2
48,sad,3,-1,1,0
50,sad,4,-2,3,-1
52,sad,2,-2,3,0
54,sad,3,-1,3,-1
56,sad,3,2,3,0
58,sad,2,-2,0,-1
60,sad,1,-2,-2,-2
62,sad,3,0,1,0
64,sad,2,-1,0,0
66,sad,3,1,1,0
68,sad,4,2,2,2
70,sad,2,-2,-1,-2
72,sad,1,-1,1,-1
74,sad,0,-2,2,1
76,sad,1,0,0,-1
78,sad,-1,-3,0,-1
80,sad,0,-1,2,1
82,sad,1,1,2,-1
84,sad,2,-1,2,2
86,sad,2,1,2,2
88,sad,2,0,1,1
90,sad,2,-1,1,0
92,sad,3,-2,3,-1
94,sad,2,-1,-1,0
96,sad,2,-3,3,1
98,sad,1,-2,3,3
100,sad,-3,-2,-1,-1
104,sad,1,-1,0,0
106,sad,1,-3,2,1
108,sad,3,2,1,0
110,sad,2,0,2,0
112,sad,2,-1,2,0
122,sad,2,-1,2,-2
124,sad,1,-2,2,-1
132,sad,3,-2,2,1
232,sad,3,1,0,0
240,sad,2,-2,3,1
